Microrregião[1][2];Código;Municípios;Consultor;Estado
Santa Rosa;1;Alecrim;Roberta;RS
Santa Rosa;1;Cândido Godói;Roberta;RS
Santa Rosa;1;Independência;Roberta;RS
Santa Rosa;1;Novo Machado;Roberta;RS
Santa Rosa;1;Porto Lucena;Roberta;RS
Santa Rosa;1;Porto Mauá;Roberta;RS
Santa Rosa;1;Porto Vera Cruz;Roberta;RS
Santa Rosa;1;Santa Rosa;Roberta;RS
Santa Rosa;1;Santo Cristo;Roberta;RS
Santa Rosa;1;São José do Inhacorá;Roberta;RS
Santa Rosa;1;Três de Maio;Roberta;RS
Santa Rosa;1;Tucunduva;Roberta;RS
Santa Rosa;1;Tuparendi;Roberta;RS
Três Passos;2;Barra do Guarita;Roberta;RS
Três Passos;2;Boa Vista do Buricá;Roberta;RS
Três Passos;2;Bom Progresso;Roberta;RS
Três Passos;2;Braga;Roberta;RS
Três Passos;2;Campo Novo;Roberta;RS
Três Passos;2;Crissiumal;Roberta;RS
Três Passos;2;Derrubadas;Roberta;RS
Três Passos;2;Doutor Maurício Cardoso;Roberta;RS
Três Passos;2;Esperança do Sul;Roberta;RS
Três Passos;2;Horizontina;Roberta;RS
Três Passos;2;Humaitá;Roberta;RS
Três Passos;2;Miraguaí;Roberta;RS
Três Passos;2;Nova Candelária;Roberta;RS
Três Passos;2;Redentora;Roberta;RS
Três Passos;2;São Martinho;Roberta;RS
Três Passos;2;Sede Nova;Roberta;RS
Três Passos;2;Tenente Portela;Roberta;RS
Três Passos;2;Tiradentes do Sul;Roberta;RS
Três Passos;2;Três Passos;Roberta;RS
Três Passos;2;Vista Gaúcha;Roberta;RS
Frederico Westphalen;3;Alpestre;Roberta;RS
Frederico Westphalen;3;Ametista do Sul;Roberta;RS
Frederico Westphalen;3;Caiçara;Roberta;RS
Frederico Westphalen;3;Constantina;Roberta;RS
Frederico Westphalen;3;Cristal do Sul;Roberta;RS
Frederico Westphalen;3;Dois Irmãos das Missões;Roberta;RS
Frederico Westphalen;3;Engenho Velho;Roberta;RS
Frederico Westphalen;3;Erval Seco;Roberta;RS
Frederico Westphalen;3;Frederico Westphalen;Roberta;RS
