Municipio ;Microrregiao;Mesorregiao;Estado;Regional_Siemens
Acrelandia;Rio Branco;Vale do Acre;AC;Centro
Assis Brasil;Brasiléia;Vale do Acre;AC;Centro
Brasileia;Brasiléia;Vale do Acre;AC;Centro
Bujari;Rio Branco;Vale do Acre;AC;Centro
Capixaba;Rio Branco;Vale do Acre;AC;Centro
Cruzeiro do Sul;Cruzeiro do Sul;Vale do Juruá;AC;Centro
Epitaciolandia;Brasiléia;Vale do Acre;AC;Centro
Feijo;Tarauacá;Vale do Juruá;AC;Centro
Jordao;Tarauacá;Vale do Juruá;AC;Centro
Mancio Lima;Cruzeiro do Sul;Vale do Juruá;AC;Centro
Manoel Urbano;Sena Madureira;Vale do Acre;AC;Centro
Marechal Thaumaturgo;Cruzeiro do Sul;Vale do Juruá;AC;Centro
Placido de Castro;Rio Branco;Vale do Acre;AC;Centro
Porto Acre;Rio Branco;Vale do Acre;AC;Centro
Porto Walter;Cruzeiro do Sul;Vale do Juruá;AC;Centro
Rio Branco;Rio Branco;Vale do Acre;AC;Centro
Rodrigues Alves;Cruzeiro do Sul;Vale do Juruá;AC;Centro
Santa Rosa do Purus;Sena Madureira;Vale do Acre;AC;Centro
Sena Madureira;Sena Madureira;Vale do Acre;AC;Centro
Senador Guiomard;Rio Branco;Vale do Acre;AC;Centro
Tarauaca;Tarauacá;Vale do Juruá;AC;Centro
Xapuri;Brasiléia;Vale do Acre;AC;Centro
agua Branca;Serrana do Sertão Alagoano;Sertão Alagoano;AL;Nordeste
Anadia;São Miguel dos Campos;Leste Alagoano;AL;Nordeste
Arapiraca;Arapiraca;Agreste Alagoano;AL;Nordeste
Atalaia;Mata Alagoana;Leste Alagoano;AL;Nordeste
Barra de Santo Antonio;Maceió;Leste Alagoano;AL;Nordeste
Barra de Sao Miguel;Maceió;Leste Alagoano;AL;Nordeste
Batalha;Batalha;Sertão Alagoano;AL;Nordeste
Belem;Palmeira dos Índios;Agreste Alagoano;AL;Nordeste
Belo Monte;Batalha;Sertão Alagoano;AL;Nordeste
Boca da Mata;São Miguel dos Campos;Leste Alagoano;AL;Nordeste
Branquinha;Mata Alagoana;Leste Alagoano;AL;Nordeste
Cacimbinhas;Palmeira dos Índios;Agreste Alagoano;AL;Nordeste
Cajueiro;Mata Alagoana;Leste Alagoano;AL;Nordeste
Campestre;Mata Alagoana;Leste Alagoano;AL;Nordeste
Campo Alegre;São Miguel dos Campos;Leste Alagoano;AL;Nordeste
Campo Grande;Arapiraca;Agreste Alagoano;AL;Nordeste
Canapi;Serrana do Sertão Alagoano;Sertão Alagoano;AL;Nordeste
Capela;Mata Alagoana;Leste Alagoano;AL;Nordeste
Carneiros;Santana do Ipanema;Sertão Alagoano;AL;Nordeste
Cha Preta;Serrana dos Quilombos;Leste Alagoano;AL;Nordeste
Coite do Noia;Arapiraca;Agreste Alagoano;AL;Nordeste
Colonia Leopoldina;Mata Alagoana;Leste Alagoano;AL;Nordeste
Coqueiro Seco;Maceió;Leste Alagoano;AL;Nordeste
Coruripe;São Miguel dos Campos;Leste Alagoano;AL;Nordeste
Craibas;Arapiraca;Agreste Alagoano;AL;Nordeste
Delmiro Gouveia;Alagoana do Sertão do São Francisco;Sertão Alagoano;AL;Nordeste
Dois Riachos;Santana do Ipanema;Sertão Alagoano;AL;Nordeste
Estrela de Alagoas;Palmeira dos Índios;Agreste Alagoano;AL;Nordeste
Feira Grande;Arapiraca;Agreste Alagoano;AL;Nordeste
Feliz Deserto;Penedo;Leste Alagoano;AL;Nordeste
Flexeiras;Mata Alagoana;Leste Alagoano;AL;Nordeste
Girau do Ponciano;Arapiraca;Agreste Alagoano;AL;Nordeste
Ibateguara;Serrana dos Quilombos;Leste Alagoano;AL;Nordeste
Igaci;Palmeira dos Índios;Agreste Alagoano;AL;Nordeste
Igreja Nova;Penedo;Leste Alagoano;AL;Nordeste
Inhapi;Serrana do Sertão Alagoano;Sertão Alagoano;AL;Nordeste
Jacare dos Homens;Batalha;Sertão Alagoano;AL;Nordeste
